mesh_cells,mesh_size_h,ndofs,reynolds_number,mean_newton_iterations,center_u,center_v,reference_center_u,reference_center_v,vertical_centerline_diff_to_reference,horizontal_centerline_diff_to_reference,vertical_observed_order,horizontal_observed_order,centerline_points,time_step,final_time
16,0.0625,2467,100,2.02,-0.20846361454101128,0.05779138161744792,-0.20852290584184732,0.05798487448218145,0.0002795494704595167,0.00015775120781826192,2.9250538560538923,2.95825052816041,241,0.02,7.999999999999917
24,0.041666666666666664,5427,100,1.99,-0.2084863790210146,0.05793463219639133,-0.20852290584184732,0.05798487448218145,8.53851326802136e-05,4.753906469690156e-05,2.895144430444054,4.21406317872723,241,0.02,7.999999999999917
32,0.03125,9539,100,1.9575,-0.2085053827921784,0.05797716233732784,-0.20852290584184732,0.05798487448218145,3.712500921899873e-05,1.41433048836149e-05,2.7440815002199503,2.9981021338254514,241,0.02,7.999999999999917
40,0.025,14803,100,1.9275,-0.20851462168913928,0.057986212435516674,-0.20852290584184732,0.05798487448218145,2.012507911327533e-05,7.244439446320421e-06,,,241,0.02,7.999999999999917
