mesh_cells,mesh_size_h,ndofs,linear_iterations,velocity_l2_error,velocity_h1_seminorm_error,pressure_l2_error,divergence_l2_error,velocity_l2_rate,velocity_h1_rate,pressure_l2_rate,divergence_l2_rate
8,0.125,659,1,0.010519147223815611,0.6166312259716207,0.027558726778624077,0.40691356592779515,2.9826098038613913,1.957840071055996,3.636690600833103,1.9202056725089867
16,0.0625,2467,1,0.0013308389933169792,0.1587292358012464,0.0022156756932833663,0.10751341668655105,2.993000613513143,1.988543253872899,3.594997068497438,1.9771591998343936
32,0.03125,9539,1,0.00016716392331188708,0.03999868910780745,0.00018335984848682203,0.027307279671626068,2.9979220347427993,1.9970408174888201,3.5557726190568366,1.9939829276063892
64,0.015625,37507,1,2.092560862099632e-05,0.010020204144648522,1.5592294370289228e-05,0.00685535210867248,,,,
